"teamNum","EPA","aS","aSa","aSt","aPPE","speak","speakA","speakT","aT","CT"
"<<<<<<< Updated upstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2468",35.91,0,0,0,0,0,0,0,0,0
"2582",23.96,0,0,0,0,0,0,0,0,0
"2613",9.61,0,0,0,0,0,0,0,0,0
"2687",19.03,0,0,0,0,0,0,0,0,0
"2689",12.36,0,0,0,0,0,0,0,0,0
"3005",35.74,0,0,0,0,0,0,0,0,0
"3310",27.69,0,0,0,0,0,0,0,0,0
"4153",15.32,0,0,0,0,0,0,0,0,0
"418",21.68,0,0,0,0,0,0,0,0,0
"4206",15.2,0,0,0,0,0,0,0,0,0
"4251",8.09,0,0,0,0,0,0,0,0,0
"4295",9.05,0,0,0,0,0,0,0,0,0
"5411",17.74,0,0,0,0,0,0,0,0,0
"5908",6.2,0,0,0,0,0,0,0,0,0
"6672",22.75,0,0,0,0,0,0,0,0,0
"7271",9.19,0,0,0,0,0,0,0,0,0
"7321",7.95,0,0,0,0,0,0,0,0,0
"7492",13.8,0,0,0,0,0,0,0,0,0
"7503",6.58,0,0,0,0,0,0,0,0,0
"7506",12.94,0,0,0,0,0,0,0,0,0
"7534",10.72,0,0,0,0,0,0,0,0,0
"7540",12.86,0,0,0,0,0,0,0,0,0
"8088",19.64,0,0,0,0,0,0,0,0,0
"8512",9.77,0,0,0,0,0,0,0,0,0
"8842",6.57,0,0,0,0,0,0,0,0,0
"9080",10.6,0,0,0,0,0,0,0,0,0
"9081",5.74,0,0,0,0,0,0,0,0,0
"9088",12.78,0,0,0,0,0,0,0,0,0
"9105",15.26,0,0,0,0,0,0,0,0,0
"9156",12.48,0,0,0,0,0,0,0,0,0
"9407",5.67,0,0,0,0,0,0,0,0,0
"9492",9.53,0,0,0,0,0,0,0,0,0
"9714",9.53,0,0,0,0,0,0,0,0,0
"9752",23.17,0,0,0,0,0,0,0,0,0
"=======",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2468",35.91,6.43,2.14,4.29,2,42.02,100,20.24,0,2
"2582",23.96,4.12,1,3.12,2.12,47.08,100,24.58,0,3.5
"2613",9.61,0,0,0,0,0,0,0,0,0
"2687",19.03,3.78,2.89,0.89,1.44,97.22,100,88.89,0,0.56
"2689",12.36,1.56,0.78,0.78,2.11,100,100,100,0,4.22
"3005",35.74,12.12,3.75,8.38,2.62,69.95,100,52.49,0,3.5
"3310",27.69,8.12,2.25,5.62,1.88,83.32,100,76.81,0.25,1.5
"4153",15.32,0.75,0,0.75,1,100,100,100,0,0
"418",21.68,2.75,0.88,1.88,1,76.67,100,68.75,0,0
"4206",15.2,4.29,0.43,3.86,1,100,100,100,0,0
"4251",8.09,0.43,0,0.43,1,100,100,100,0,0
"4295",9.05,0.56,0,0.56,1.44,77.78,100,77.78,0,1.56
"5411",17.74,3.71,0.57,3.14,1,64.29,100,58.33,0,0
"5908",6.2,0.12,0,0.12,1,87.5,100,87.5,0,0
"6672",22.75,2.88,0.88,2,1.5,75.62,100,60.83,0,1.25
"7271",9.19,1,0,1,1,100,100,100,0,0
"7321",7.95,0.29,0,0.29,1,100,100,100,0,0
"7492",13.8,1.43,0,1.43,2,85.71,100,85.71,0,4
"7503",6.58,1.88,1,0.88,2.75,100,100,100,0,8.38
"7506",12.94,0.89,0.56,0.33,1,83.33,100,77.78,0,0
"7534",10.72,0,0,0,1,100,100,100,0,0
"7540",12.86,1.33,0.67,0.67,1,100,100,100,0,0
"8088",19.64,5.5,2,3.5,2.5,89.38,100,81.25,0,3.25
"8512",9.77,1.71,0,1.71,1,14.29,100,14.29,0,0
"8842",6.57,0,0,0,0,0,0,0,0,0
"9080",10.6,1.71,0.14,1.57,1.86,57.14,100,57.14,0,3.14
"9081",5.74,2.56,0,2.56,1,40.48,100,40.48,0,0
"9088",12.78,2.5,1.38,1.12,1,100,100,100,0,0
"9105",15.26,3.38,1.12,2.25,1.75,100,100,100,0,2
"9156",12.48,3.88,0.38,3.5,1,97.22,100,96.88,0,0
"9407",5.67,0,0,0,1,100,100,100,0,0
"9492",9.53,3.88,0,3.88,1.5,62.5,100,62.5,0,1
"9714",9.53,0,0,0,0,0,0,0,0,0
"9752",23.17,6.43,2.71,3.71,1.86,76.61,100,61.7,0,1.29
">>>>>>> Stashed changes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
