"round","match_number","red1","red2","red3","blue1","blue2","blue3"
"qf",1,3743,5866,2950,6180,3310,6800
"qf",2,8088,8858,9655,8408,4734,8769
"qf",3,3005,9533,5986,2789,2687,6377
"qf",4,1164,3481,2714,2881,9088,5503
"qf",5,2689,1745,2468,7125,5613,9577
"qf",6,3802,8874,2848,8842,8528,2158
"qf",7,6974,9311,9088,5212,5986,2950
"qf",8,6800,5503,2687,6377,7125,4734
"qf",9,8408,2158,6180,9577,8769,2714
"qf",10,9533,3310,2468,2689,1164,3802
"qf",11,9655,2881,1745,8874,8842,8088
"qf",12,9311,5212,3481,5866,2789,8528
"qf",13,8858,3743,6974,5613,3005,2848
"qf",14,6377,6800,1164,9577,2158,8088
"qf",15,3310,2689,8874,9088,5986,9655
"qf",16,3005,2950,1745,5212,6180,2881
"qf",17,3743,3802,5613,5866,3481,4734
"qf",18,2848,2468,9311,5503,6974,9533
"qf",19,2687,8842,7125,2714,8528,8858
"qf",20,8769,1164,5866,2789,8408,2881
"qf",21,9655,3802,6377,9533,6180,9088
"qf",22,6800,8088,7125,5212,3005,8874
"qf",23,2950,2689,2789,2687,2714,8408
"qf",24,6974,2848,3310,2468,2158,5503
"qf",25,8842,1745,8769,5986,3743,3481
"qf",26,4734,5613,8528,9311,9577,8858
"qf",27,2881,6377,8088,2689,6974,7125
"qf",28,8769,9088,8874,2950,3802,2687
"qf",29,9655,8528,6180,5986,5503,5613
"qf",30,3481,3310,8842,1164,3005,2158
"qf",31,3743,6800,8408,9533,1745,9311
"qf",32,2789,2714,5212,4734,2468,9577
"qf",33,8858,2848,9088,5866,2689,8088
"qf",34,8528,7125,8408,3743,3310,5503
"qf",35,2468,6800,5212,2950,9655,3481
"qf",36,1164,9577,2687,1745,2848,6180
"qf",37,2789,8769,9533,5613,6974,8874
"qf",38,4734,3802,2158,8842,9311,3005
"qf",39,5986,2881,2714,8858,6377,5866
"qf",40,8769,8088,2848,3481,2468,7125
"qf",41,9088,4734,2789,8874,5503,8528
"qf",42,3310,9655,1164,9311,2687,2881
"qf",43,2158,8858,2689,5212,9533,3743
"qf",44,5613,2950,6377,3802,5866,8842
"qf",45,2714,3005,6974,1745,9577,6800
"qf",46,5986,6180,4734,8408,5212,2848
"qf",47,2468,2881,3743,9088,2158,2687
"qf",48,3005,9577,5866,2689,9533,9655
"qf",49,5613,8088,1745,3802,8408,3310
"qf",50,6377,8874,2714,6974,1164,8528
"qf",51,8858,2789,5503,2950,6800,8842
"qf",52,7125,9311,5986,6180,3481,8769
"qf",53,8088,5212,9088,2714,5613,3310
"qf",54,8408,8874,2950,2848,6377,3743
"qf",55,4734,2687,2689,3481,2789,6974
"qf",56,5503,1164,6180,6800,8858,8769
"qf",57,5866,9655,2158,7125,1745,3802
"qf",58,2881,9533,9577,8842,5986,2468
"qf",59,9311,8528,3310,3005,8769,6377
"qf",60,3802,5503,3481,2687,6974,5212
"qf",61,9577,8842,2689,8874,6180,5866
"qf",62,9088,8408,5613,2848,2881,6800
"qf",63,1745,5986,8858,8088,2789,9311
"qf",64,8528,3743,3005,2468,2714,9655
"qf",65,2158,7125,9533,1164,2950,4734
"qf",66,2881,8769,5613,6377,5212,8842
"qf",67,8528,2468,3802,6800,2689,5986
"qf",68,6180,2950,6974,3481,8408,8858
"qf",69,2158,2848,2789,9655,7125,3743
"qf",70,5503,5866,9311,8088,2687,3005
"qf",71,2714,4734,9533,1745,9088,1164
"qf",72,9577,8874,2789,3310,8858,2881
"qf",73,2687,5866,5986,2158,5613,6800
"qf",74,2848,2714,2689,8769,9311,3802
"qf",75,5503,9655,5212,8874,3743,1164
"qf",76,6180,6377,2468,3310,4734,1745
"qf",77,8528,3481,9577,9533,8088,2950
"qf",78,6974,8842,8408,7125,9088,3005
