teamNum,EPA,aS,aSa,aSt,aPPE,speak,speakA,speakT,aT,CT
2468,35.91,0,0,0,0,0,0,0,0,0
2582,23.96,0,0,0,0,0,0,0,0,0
2613,9.61,0,0,0,0,0,0,0,0,0
2687,19.03,0,0,0,0,0,0,0,0,0
2689,12.36,0,0,0,0,0,0,0,0,0
3005,35.74,0,0,0,0,0,0,0,0,0
3310,27.69,0,0,0,0,0,0,0,0,0
4153,15.32,0,0,0,0,0,0,0,0,0
418,21.68,0,0,0,0,0,0,0,0,0
4206,15.2,0,0,0,0,0,0,0,0,0
4251,8.09,0,0,0,0,0,0,0,0,0
4295,9.05,0,0,0,0,0,0,0,0,0
5411,17.74,0,0,0,0,0,0,0,0,0
5908,6.2,0,0,0,0,0,0,0,0,0
6672,22.75,0,0,0,0,0,0,0,0,0
7271,9.19,0,0,0,0,0,0,0,0,0
7321,7.95,0,0,0,0,0,0,0,0,0
7492,13.8,0,0,0,0,0,0,0,0,0
7503,6.58,0,0,0,0,0,0,0,0,0
7506,12.94,0,0,0,0,0,0,0,0,0
7534,10.72,0,0,0,0,0,0,0,0,0
7540,12.86,0,0,0,0,0,0,0,0,0
8088,19.64,0,0,0,0,0,0,0,0,0
8512,9.77,0,0,0,0,0,0,0,0,0
8842,6.57,0,0,0,0,0,0,0,0,0
9080,10.6,0,0,0,0,0,0,0,0,0
9081,5.74,0,0,0,0,0,0,0,0,0
9088,12.78,0,0,0,0,0,0,0,0,0
9105,15.26,0,0,0,0,0,0,0,0,0
9156,12.48,0,0,0,0,0,0,0,0,0
9407,5.67,0,0,0,0,0,0,0,0,0
9492,9.53,0,0,0,0,0,0,0,0,0
9714,9.53,0,0,0,0,0,0,0,0,0
9752,23.17,0,0,0,0,0,0,0,0,0
