"teamNum","matches","alliances"
"<<<<<<< Updated upstream","",""
"2468","5,10,14,20,25,29,32,38,44,48,56,60","b,r,r,b,r,b,b,r,r,b,b,r"
"2582","4,11,15,21,25,29,34,38,45,52,57,62","r,r,r,b,b,b,r,b,b,r,r,r"
"2613","",""
"2687","2,9,12,16,24,29,33,39,42,50,55,60","b,b,b,r,b,r,r,r,r,b,b,r"
"2689","4,7,14,17,26,31,35,39,45,49,52,59","b,b,r,b,r,r,b,r,r,r,b,b"
"3005","3,8,11,17,23,28,32,42,47,50,56,62","r,b,r,b,b,r,b,r,b,r,r,b"
"3310","2,6,12,16,23,27,35,40,45,48,53,58","b,b,r,b,b,r,r,r,b,b,r,b"
"4153","1,10,14,18,24,31,34,40,43,47,54,59","r,r,b,b,b,r,r,r,b,b,b,r"
"418","5,10,13,17,23,27,35,38,46,49,54,61","b,b,r,b,r,b,r,b,r,b,b,r"
"4206","5,8,12,19,24,31,34,39,44,49,52,57","r,b,b,r,r,r,b,b,r,b,r,b"
"4251","3,7,15,19,22,26,33,41,45,49,54,58","b,r,r,b,r,b,b,b,r,r,b,b"
"4295","5,9,13,18,21,27,36,39,42,52,57,61","b,r,b,b,r,r,r,b,r,b,r,b"
"5411","5,8,15,18,23,29,33,40,44,50,53,58","r,r,b,b,r,b,b,b,b,b,r,r"
"5908","3,7,12,20,23,29,37,41,46,52,55,62","b,b,r,b,r,r,r,r,b,r,b,b"
"6672","1,7,12,17,21,31,35,41,44,51,56,60","r,r,b,r,b,b,b,r,b,r,b,b"
"7271","1,7,11,20,26,29,32,40,43,48,53,61","b,r,b,r,r,r,b,b,b,r,b,r"
"7321","2,10,14,21,24,28,32,37,45,51,55,58","b,b,b,b,r,r,r,r,r,b,r,r"
"7492","3,9,14,17,22,30,33,39,43,47,53,58","b,b,r,r,b,r,r,b,r,b,b,r"
"7503","2,7,15,19,24,27,36,40,43,50,56,62","r,b,b,b,r,b,r,r,r,r,b,r"
